source,target,label,type,year,frequency,east_west,capacity,distance,edge_type
1946151,1946158,1,bus,1946,25,both/unkown,100,2.6931655244609782,bus
1946158,1946212,1,bus,1946,25,both/unkown,100,0.35781228775099255,bus
1946212,1946325,1,bus,1946,25,both/unkown,100,0.39833208260193875,bus
1946325,1946257,1,bus,1946,25,both/unkown,100,0.7134809446040172,bus
1946257,1946138,1,bus,1946,25,both/unkown,100,0.4383458036668836,bus
1946138,1946596,1,bus,1946,25,both/unkown,100,0.48285820556863085,bus
1946596,1946476,1,bus,1946,25,both/unkown,100,0.33363159733194375,bus
1946476,19462,1,bus,1946,25,both/unkown,100,0.9238170161392277,bus
1946476,19462,9,bus,1946,10,both/unkown,100,0.9238170161392277,bus
1946476,1946573,9,bus,1946,10,both/unkown,100,0.8864308594782285,bus
19462,19466,1,bus,1946,25,both/unkown,100,0.37587868253831014,bus
19466,1946240,1,bus,1946,25,both/unkown,100,0.3799694238930839,bus
1946240,1946472,1,bus,1946,25,both/unkown,100,1.20563451577689,bus
1946472,194613,1,bus,1946,25,both/unkown,100,0.2052074290586633,bus
194613,1946172,1,bus,1946,25,both/unkown,100,0.2683257950190373,bus
1946172,1946301,1,bus,1946,25,both/unkown,100,0.1796397547337599,bus
1946301,1946153,1,bus,1946,25,both/unkown,100,2.638450613583971,bus
1946153,1946157,1,bus,1946,25,both/unkown,100,1.5667649650555207,bus
1946157,1946156,1,bus,1946,25,both/unkown,100,1.5770691561957633,bus
1946156,19468,1,bus,1946,25,both/unkown,100,1.9122262378303758,bus
19468,1946568,H,bus,1946,15,both/unkown,100,0.3811161412411102,bus
19468,19467,H,bus,1946,15,both/unkown,100,3.650485128183222,bus
1946206,1946459,1,strassenbahn,1946,10,both/unkown,195,0.47892389722104955,strassenbahn
1946459,1946457,1,strassenbahn,1946,10,both/unkown,195,0.3883502038411792,strassenbahn
1946457,1946252,1,strassenbahn,1946,10,both/unkown,195,0.3799928287686008,strassenbahn
1946252,1946531,1,strassenbahn,1946,10,both/unkown,195,0.5957023038516379,strassenbahn
1946531,1946125,1,strassenbahn,1946,10,both/unkown,195,0.5116751945337159,strassenbahn
1946125,1946170,1,strassenbahn,1946,10,both/unkown,195,0.816146662504101,strassenbahn
1946170,1946589,1,strassenbahn,1946,10,both/unkown,195,0.21667669399411976,strassenbahn
1946589,1946426,1,strassenbahn,1946,10,both/unkown,195,0.17844976769776055,strassenbahn
1946426,1946136,1,strassenbahn,1946,10,both/unkown,195,0.23685670242895637,strassenbahn
1946136,1946232,1,strassenbahn,1946,10,both/unkown,195,0.8380690154189537,strassenbahn
1946232,1946414,1,strassenbahn,1946,10,both/unkown,195,0.7545133507439159,strassenbahn
1946232,1946414,21,strassenbahn,1946,6,both/unkown,195,0.7545133507439159,strassenbahn
1946232,1946291,21,strassenbahn,1946,6,both/unkown,195,0.47734900017518583,strassenbahn
1946414,194618,1,strassenbahn,1946,10,both/unkown,195,0.6978089809562465,strassenbahn
1946414,194619,21,strassenbahn,1946,6,both/unkown,195,0.7000037393315739,strassenbahn
1946414,1946417,74,strassenbahn,1946,5,unkown,195,1.401714789405525,strassenbahn
1946414,1946312,74,strassenbahn,1946,5,unkown,195,0.9445360557345188,strassenbahn
1946628,1946412,17,bus,1946,30,both/unkown,100,2.020111241486902,bus
1946628,194647,5,bus,1946,60,both/unkown,100,1.8498388891777964,bus
1946412,194676,17,bus,1946,30,both/unkown,100,2.5141913175239234,bus
194676,194683,17,bus,1946,30,both/unkown,100,1.7036357046901955,bus
194683,1946539,17,bus,1946,30,both/unkown,100,2.6854806084740437,bus
1946600,1946556,21,strassenbahn,1946,6,both/unkown,195,0.861280289195067,strassenbahn
1946556,1946436,21,strassenbahn,1946,6,both/unkown,195,1.885123782562169,strassenbahn
1946436,194611,21,strassenbahn,1946,6,both/unkown,195,0.3662584178937953,strassenbahn
194611,1946345,21,strassenbahn,1946,6,both/unkown,195,0.399526489700167,strassenbahn
1946345,1946309,21,strassenbahn,1946,6,both/unkown,195,0.20729946562424384,strassenbahn
1946309,1946346,21,strassenbahn,1946,6,both/unkown,195,0.27980447372252415,strassenbahn
1946346,1946173,21,strassenbahn,1946,6,both/unkown,195,0.1164787756481152,strassenbahn
1946173,1946291,21,strassenbahn,1946,6,both/unkown,195,0.26380727382091623,strassenbahn
1946456,1946437,23,strassenbahn,1946,10,both/unkown,195,1.5406966233135626,strassenbahn
1946437,194689,23,strassenbahn,1946,10,both/unkown,195,1.1885997858019706,strassenbahn
194689,1946189,23,strassenbahn,1946,10,both/unkown,195,0.9695676933564453,strassenbahn
194689,1946189,47,strassenbahn,1946,10,unkown,195,0.9695676933564453,strassenbahn
