id,x,y,year,type,east_west,neighbourhood,district,node_label
1946151,13.385641462324475,52.470965141866394,1946,bus,west,Tempelhof,Tempelhof-Schöneberg,Flughafen
1946158,13.389323838894562,52.49508128500466,1946,bus,west,Kreuzberg,Friedrichshain-Kreuzberg,Franz-Mehring-Strasse
1946212,13.391726405887525,52.49794750808006,1946,bus,west,Kreuzberg,Friedrichshain-Kreuzberg,Hallesches Tor
1946325,13.394408948438224,52.50113590948542,1946,bus,west,Kreuzberg,Friedrichshain-Kreuzberg,Lindenstrasse
1946257,13.398277044768834,52.50710477957293,1946,bus,west,Kreuzberg,Friedrichshain-Kreuzberg,Jerusalemer Strasse
1946138,13.39862526380472,52.51104121136219,1946,bus,east,Mitte,Mitte,DÃ¶nhoffplatz
1946596,13.397165241076786,52.515291776252226,1946,bus,east,Mitte,Mitte,Werderscher markt
1946476,13.401870070751757,52.516189104673394,1946,bus,east,Mitte,Mitte,SchloÃŸplatz
19462,13.413957243449447,52.52005246558073,1946,bus,east,Mitte,Mitte,Alexanderplatz
19466,13.418077932963259,52.51778540833277,1946,bus,east,Mitte,Mitte,Alexanderstrasse
1946240,13.420502137148215,52.51470310432635,1946,bus,east,Mitte,Mitte,Holzmarkstrasse
1946472,13.436358877912049,52.50976021619768,1946,bus,east,Friedrichshain,Friedrichshain-Kreuzberg,Schlesischer Bahnhof
194613,13.434689302904747,52.511300751384205,1946,bus,east,Friedrichshain,Friedrichshain-Kreuzberg,Am Schlesischen Bahnhof
1946172,13.438416859495533,52.5121233087592,1946,bus,east,Friedrichshain,Friedrichshain-Kreuzberg,Fruchtstrasse
1946301,13.43784219276966,52.5137005363457,1946,bus,east,Friedrichshain,Friedrichshain-Kreuzberg,KÃ¼rstriner Platz
1946153,13.476830323062508,52.51348352208039,1946,bus,east,Lichtenberg,Lichtenberg,Frankfurter Allee
1946157,13.453999993701924,52.5158293510385,1946,bus,east,Friedrichshain,Friedrichshain-Kreuzberg,Frankfurter Allee Ecke Warschauer Strasse
1946156,13.476984666930822,52.51348326435681,1946,bus,east,Lichtenberg,Lichtenberg,Frankfurter Allee Ecke GÃ¼rtelstrasse
19468,13.504877027235766,52.51072943298707,1946,bus,east,Rummelsburg,Lichtenberg,Alt-Friedrichsfelde
1946206,13.401605863643521,52.522700593509725,1946,strassenbahn,east,Mitte,Mitte,Hackescher Markt
1946459,13.403424759115316,52.526863056079485,1946,strassenbahn,east,Mitte,Mitte,Rosenthaler Strasse
1946457,13.4016121,52.5301769,1946,strassenbahn,east,Mitte,Mitte,Rosenthaler Platz
1946252,13.3974236,52.5324542,1946,strassenbahn,east,Mitte,Mitte,Invalidenstrasse
1946531,13.3887147,52.531658,1946,strassenbahn,east,Mitte,Mitte,Stettiner Bhf.
1946125,13.387046161831702,52.52716975261716,1946,strassenbahn,east,Mitte,Mitte,Chausseestrasse
1946170,13.388183618668693,52.51986268004412,1946,strassenbahn,east,Mitte,Mitte,Friedrichstrasse
1946589,13.38803351210133,52.52180915595045,1946,strassenbahn,east,Mitte,Mitte,WeidendammbrÃ¼cke
1946426,13.389902051315714,52.52067652539613,1946,strassenbahn,east,Mitte,Mitte,Prinz-Louis-Ferdinand-Strasse
1946136,13.388522669782862,52.518718761338874,1946,strassenbahn,east,Mitte,Mitte,Dorotheenstrasse
1946232,13.376820910193624,52.516248900919734,1946,strassenbahn,east,Mitte,Mitte,Hindenburgplatz
1946414,13.375988156399634,52.50948236131137,1946,strassenbahn,west,Tiergarten,Mitte,Potsdamer Platz
194618,13.382326534592197,52.50453275122,1946,strassenbahn,west,Kreuzberg,Friedrichshain-Kreuzberg,Anhalter Bahnhof
1946628,13.259531923613192,52.433207520111885,1946,bus,west,Zehlendorf,Steglitz-Zehlendorf,"Zehlendorf, Rathaus"
1946412,13.229955507955582,52.431000977609386,1946,bus,west,Zehlendorf,Steglitz-Zehlendorf,Potsdamer Chaussee
194676,13.193152057415048,52.43378197004219,1946,bus,west,Nikolassee,Steglitz-Zehlendorf,Bhf. Nikolassee
194683,13.17810256503659,52.42151302311533,1946,bus,west,Wannsee,Steglitz-Zehlendorf,Bhf. Wannsee
1946539,13.14381794619846,52.409430239790396,1946,bus,west,Wannsee,Steglitz-Zehlendorf,StÃ¶lpchensee
1946600,13.318056678375148,52.52581092392458,1946,strassenbahn,west,Moabit,Mitte,Wiebestrasse
1946556,13.33057857169393,52.52721009570157,1946,strassenbahn,west,Moabit,Mitte,ThÃ¤lmannstrasse Ecke Waldstrasse
1946436,13.35779,52.52356,1946,strassenbahn,west,Moabit,Mitte,Rathenower Strasse
194611,13.363110996619637,52.522953428732706,1946,strassenbahn,west,Moabit,Mitte,Alt-Moabit
1946345,13.368763129040833,52.5219128570478,1946,strassenbahn,west,Moabit,Mitte,MoltkebrÃ¼cke
1946309,13.37053213445337,52.52343504003177,1946,strassenbahn,west,Moabit,Mitte,Lehrter Bhf.
1946346,13.370522595212249,52.52091870811496,1946,strassenbahn,west,Tiergarten,Mitte,Moltkestrasse
1946173,13.372234861490762,52.52081005309171,1946,strassenbahn,west,Tiergarten,Mitte,FÃ¼rst-Bismarck-Strasse
1946291,13.37089835391381,52.518581320085175,1946,strassenbahn,west,Tiergarten,Mitte,KÃ¶nigsplatz
194619,13.382289924849571,52.50449054956299,1946,strassenbahn,west,Kreuzberg,Friedrichshain-Kreuzberg,Anhalter Bhf.
1946456,13.3726652,52.598664,1946,strassenbahn,east,Rosenthal,Pankow,Rosenthal
1946437,13.388316972877895,52.588585153873055,1946,strassenbahn,east,Niederschönhausen,Pankow,Reichskanzlerdamm
194689,13.398319596978663,52.57979168986186,1946,strassenbahn,east,Niederschönhausen,Pankow,Bismarckplatz
1946189,13.39822592061002,52.57107235599751,1946,strassenbahn,east,Niederschönhausen,Pankow,Grabbeallee
1946395,13.400975893487843,52.5694372959097,1946,strassenbahn,east,Pankow,Pankow,"Pankow, SchÃ¶nholzer Strasse"
1946620,13.397494001474454,52.56711840042508,1946,strassenbahn,east,Pankow,Pankow,Wollankstrasse
1946621,13.39428238792138,52.565015564441026,1946,strassenbahn,east,Pankow,Pankow,Wollankstrasse Ecke Brehmestrasse
1946427,13.386994425763648,52.55964584409222,1946,strassenbahn,west,Gesundbrunnen,Mitte,Prinzenallee Ecke Brehmestrasse
1946400,13.381594396575924,52.55232052700631,1946,strassenbahn,west,Gesundbrunnen,Mitte,Pankstrasse
1946360,13.369853072459598,52.54423653105294,1946,strassenbahn,west,Wedding,Mitte,Nettelbeckplatz
1946448,13.36977195492272,52.54031997084383,1946,strassenbahn,west,Wedding,Mitte,Reinickendorfer Strasse
1946588,13.369198549039789,52.54152535588228,1946,strassenbahn,west,Wedding,Mitte,Weddingplatz
1946149,13.368519561996605,52.54108945864209,1946,strassenbahn,west,Wedding,Mitte,Fennstrasse
1946583,13.449684491939852,52.506746741445006,1946,strassenbahn,east,Friedrichshain,Friedrichshain-Kreuzberg,Warschauer BrÃ¼cke
1946586,13.44863,52.50502,1946,strassenbahn,east,Friedrichshain,Friedrichshain-Kreuzberg,Warschauer Strasse
194632,13.4525257,52.519215,1946,strassenbahn,east,Friedrichshain,Friedrichshain-Kreuzberg,Baltenplatz
1946142,13.447642432361302,52.5264128560996,1946,strassenbahn,east,Friedrichshain,Friedrichshain-Kreuzberg,Elbinger Strasse Ecke Lansberger Allee
